Trade name,UNS number,Composition,Elongation (%),
AM100A F,M10100,Mg-9.5Al-0.3Zn,2,
AM60A F,M10600,Mg-6Al-0.5Si-0.35Cu,6,
AM60B F,M10603,Mg-6Al-0.25Mn,6,
AS41A F,M10410,Mg-4Al-1Si-0.35Mn,6,
AS41XB F,,Mg-4Al-1Si-0.35Mn,6,
AZ10A,M11100,Mg-1.5Al-0.5Zn,10,
AZ31B T1,M11312,Mg-3Al-1Zn,12 - 21,
AZ61A F,M11610,Mg-6Al-1Zn,8 - 16,
AZ63 T1,M11630,Mg-6Al-3Zn-0.3Si,6,
AZ80A T4,M11800,Mg-8Al-0.5Zn,6 - 11,
AZ81A T1,M11810,Mg-8Al-0.5Zn,15,
AZ91A F,M11910,Mg-9Al-1Zn-0.1Mn,3,
AZ91C T6,M11914,Mg-9Al-1Zn-0.1Mn,6 - 15,
AZ92A T6,M11920,Mg-9Al-2Zn-0.3Si,3,
EQ21 T6,M16330,Mg-1.5Ag-2Re,2,
EZ33A T5,M12330,Mg-3Re-2.5Zn-0.6Zr,3,
HK31A T6,M13310,Mg-3Th-0.6Zr-0.3Zn,8,
HK31A H24,M13310,Mg-3Th-1Zr,9,
HM21A T8,M13210,Mg-2Th-0.5Mn,10,
HM31A O,M13312,Mg-3Th-1.2Mn,10,
HZ32A T5,M13320,Mg-2Zn-3Th-1Zr,4,
K1A F,M18010,Mg-0.5Zr,19,
M1A,M15100,Mg-1Mn-0.3Cr,7 - 12,
QE22A T6,M18220,Mg-2.5Ag-2Re-0.6Zr,3,
QH21A T6,,Mg-2.5Ag-1Re-1Th-0.7Zr,4 - 8,
WE43 T6,M18430,Mg-4Y-3.4Re-0.6Zr,2,
WE54 T6,M18410,Mg-5.1Y-3Re-0.6Zr,2,
ZC63 T6,M16631,Mg-5.5Zn-2.5Cu-0.5Mn,3 - 5,
ZC71 T6,M16710,Mg-6.5Zn-1Cu-0.8Mn,4 - 6,
ZE41A T5,M16410,Mg-4.5Zn-1.5Re,3.5,
ZE63A T6,M16630,Mg-6Zn-2.5Re,10,
ZH62A T5,M16620,Mg-5.5Zn-2Th-0.65Zr,4,
ZK21A,M16210,Mg-2.3Zn-0.65Zr,4,
ZK40A T5,M16400,Mg-4Zn-0.45Zr,4,
ZK51A T5,M16510,Mg-4.5Zn-0.45Zr,3.5,
ZK60A T5,M16600,Mg-5.5Zn-0.45Zr,11 - 16,
ZK61A T6,M16610,Mg-6Zn-0.8Zr,10,
